left,right,seed,left_seat,left_money,right_money,margin,result,done,left_status,right_status,left_calls,right_calls,errors,invalid,p50_ms,p95_ms,p99_ms,max_ms
Adaptive_V14,Stable12,42,1,64435.0,162491.0,-98056.0,L,1,DONE,DONE,719,719,0,0,0.010625008144415915,0.015006297326181079,0.04514863976510236,0.3161249915137887
Adaptive_V14,Stable12,2026,0,55526.0,142468.0,-86942.0,L,1,DONE,DONE,719,719,0,0,0.010749994544312358,0.015441898722201561,0.04352786258095871,32.22299998742528
Adaptive_V14,Stable12,2026,1,55505.0,142550.0,-87045.0,L,1,DONE,DONE,719,719,0,0,0.010729505447670817,0.015249999705702066,0.04413103975821284,0.4275419923942536
Adaptive_V14,V022c,17,0,55861.0,139360.0,-83499.0,L,1,DONE,DONE,719,719,0,0,0.01029099803417921,0.015845606685616066,0.0441094662528485,0.4141670069657266
Adaptive_V14,V022c,17,1,68269.0,150553.0,-82284.0,L,1,DONE,DONE,719,719,0,0,0.010458505130372941,0.016210650210268754,0.04816815024241801,0.33983300090767443
Adaptive_V14,V022c,42,0,59084.0,144573.0,-85489.0,L,1,DONE,DONE,719,719,0,0,0.010083022061735392,0.014423165703192348,0.04421930527314542,0.3225829859729856
Adaptive_V14,V022c,42,1,57916.0,144144.0,-86228.0,L,1,DONE,DONE,719,719,0,0,0.010334013495594263,0.014929444296285498,0.04790041275555258,0.366291991667822
Adaptive_V14,V022c,2026,0,58440.0,146893.0,-88453.0,L,1,DONE,DONE,719,719,0,0,0.01029198756441474,0.015406201418954851,0.04697853233665217,0.4297500126995146
Adaptive_V14,V022c,2026,1,58436.0,147099.0,-88663.0,L,1,DONE,DONE,719,719,0,0,0.01025001984089613,0.014851750165689721,0.04768574202898883,0.39362499956041574
Adaptive_V14,V13_R3,17,0,59269.0,156864.0,-97595.0,L,1,DONE,DONE,719,719,0,0,0.010249990737065673,0.014499993994832039,0.032164166914299075,0.17204199684783816
Adaptive_V14,V13_R3,17,1,59269.0,156864.0,-97595.0,L,1,DONE,DONE,719,719,0,0,0.010250005288980901,0.014340161578729742,0.04133167094550995,0.2690830151550472
Adaptive_V14,V13_R3,42,0,67319.0,171545.0,-104226.0,L,1,DONE,DONE,719,719,0,0,0.010540999937802553,0.015006322064436967,0.04170103959040696,26.39195800293237
Adaptive_V14,V13_R3,42,1,65570.0,171391.0,-105821.0,L,1,DONE,DONE,719,719,0,0,0.01027050893753767,0.014631294470746063,0.045940000563859884,0.2877080114558339
Adaptive_V14,V13_R3,2026,0,64118.0,169363.0,-105245.0,L,1,DONE,DONE,719,719,0,0,0.010417017620056868,0.014971313066780555,0.041714043181855204,0.3212080046068877
Adaptive_V14,V13_R3,2026,1,64128.0,168678.0,-104550.0,L,1,DONE,DONE,719,719,0,0,0.010375006240792572,0.014499993994832039,0.033290325663982254,25.06708400323987
V27,Stable12,17,0,41273.0,187459.0,-146186.0,L,1,DONE,DONE,719,719,0,0,0.010645511792972684,0.014465162530541415,0.04537253145826975,0.3077919827774167
V27,Stable12,17,1,41655.0,182457.0,-140802.0,L,1,DONE,DONE,719,719,0,0,0.010791991371661425,0.0155481495312415,0.04298443935113028,0.42091700015589595
V27,Stable12,42,0,37144.0,168496.0,-131352.0,L,1,DONE,DONE,719,719,0,0,0.010540999937802553,0.01525629922980442,0.04504341282881792,0.20716601284220815
V27,Stable12,42,1,31729.0,173767.0,-142038.0,L,1,DONE,DONE,719,719,0,0,0.010666990419849753,0.015215143503155554,0.047125114360824095,0.24154200218617916
V27,Stable12,2026,0,38621.0,177999.0,-139378.0,L,1,DONE,DONE,719,719,0,0,0.010624993592500687,0.015131149848457419,0.0465684596565552,0.2658330195117742
V27,Stable12,2026,1,38935.0,178942.0,-140007.0,L,1,DONE,DONE,719,719,0,0,0.010666495654731989,0.015131298277992748,0.04308837756980199,0.07245800225064158
V27,V022c,17,0,41046.0,178649.0,-137603.0,L,1,DONE,DONE,719,719,0,0,0.010166986612603068,0.014999997802078724,0.046827715123072156,0.43299997923895717
V27,V022c,17,1,41661.0,168368.0,-126707.0,L,1,DONE,DONE,719,719,0,0,0.00999998883344233,0.014749995898455381,0.04675000673159957,0.22241700207814574
