actual_margin_delta,control_margin,done,due,event_index,item,mode,opponent,opponent_cash_delta,own_cash_delta,raw_gain,seat,seed,single_event_margin,source_hash,step,transfer
-41008.0,9759.0,1,240,0,WOOL,delay,frontier_current,57452.0,16444.0,354.0,0,17,-31249.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,8
34.0,9759.0,1,384,1,STRAWBERRY,delay,frontier_current,0.0,34.0,143.0,0,17,9793.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,336,3
-32236.0,9759.0,1,240,0,WOOL,delay,frontier_current,55290.0,23054.0,313.0,1,17,-22477.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,8
34.0,9759.0,1,384,1,STRAWBERRY,delay,frontier_current,0.0,34.0,29.0,1,17,9793.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,336,3
1229.0,23855.0,1,240,0,WOOL,delay,frontier_current,-13206.0,-11977.0,54.0,0,42,25084.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,4
0.0,23855.0,1,381,1,WOOL,delay,frontier_current,0.0,0.0,17.0,0,42,23855.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,312,3
28.0,23855.0,1,408,2,STRAWBERRY,delay,frontier_current,9.0,37.0,178.0,0,42,23883.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,384,7
1465.0,21984.0,1,240,0,WOOL,delay,frontier_current,-13591.0,-12126.0,54.0,1,42,23449.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,168,4
0.0,21984.0,1,381,1,WOOL,delay,frontier_current,0.0,0.0,17.0,1,42,21984.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,312,3
-1.0,21984.0,1,432,2,STRAWBERRY,delay,frontier_current,4.0,3.0,40.0,1,42,21983.0,c3be7447f79a1c4e0a9fa537b9fbd2eb7ae1a199a09690e7dfdc15da1cb0b5a4,408,1
