actions,calls,candidate,candidate_money,candidate_status,done,errors,invalid,margin,max_ms,opponent,opponent_money,opponent_status,p50_ms,p95_ms,p99_ms,result,seat,seed
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,128640.0,DONE,1,0,0,18853.0,0.31525,hamburger,109787.0,DONE,0.008708,0.05575,0.077208,win,1,217
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,166366.0,DONE,1,0,0,17118.0,0.354833,hamburger,149248.0,DONE,0.009333,0.056917,0.084833,win,0,317
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,166518.0,DONE,1,0,0,17268.0,0.249208,hamburger,149250.0,DONE,0.008625,0.0515,0.076541,win,1,317
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,154937.0,DONE,1,0,0,17110.0,0.380166,hamburger,137827.0,DONE,0.009167,0.059667,0.091958,win,0,733
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,155147.0,DONE,1,0,0,17320.0,0.23375,hamburger,137827.0,DONE,0.008958,0.0505,0.076041,win,1,733
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,139039.0,DONE,1,0,0,-1544.0,0.240958,frontier,140583.0,DONE,0.008792,0.046209,0.073417,loss,0,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,148369.0,DONE,1,0,0,15573.0,0.077209,frontier,132796.0,DONE,0.009083,0.047084,0.06875,win,1,17
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,126087.0,DONE,1,0,0,3435.0,0.229208,frontier,122652.0,DONE,0.008542,0.045,0.0735,win,0,42
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,126201.0,DONE,1,0,0,3623.0,0.105833,frontier,122578.0,DONE,0.00925,0.046042,0.07675,win,1,42
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,104279.0,DONE,1,0,0,9476.0,0.204583,frontier,94803.0,DONE,0.008625,0.053458,0.072041,win,0,2026
"{'PASS': 377, 'BUILD_PASTURE': 14, 'WEST': 1098, 'NORTH': 1236, 'PICKUP': 339, 'PLACE': 27, 'SOUTH': 929, 'FEED': 319, 'EAST': 857, 'CARE': 308, 'PLANT': 131, 'WATER': 851, 'COLLECT_FERTILIZER': 318, 'DROP': 80, 'HARVEST': 338, 'DIG': 25, 'FERTILIZE': 107}",719,control,102261.0,DONE,1,0,0,5418.0,0.269042,frontier,96843.0,DONE,0.009166,0.050834,0.071417,win,1,2026
