phase,candidate,opponent,games,mean_cash,min_cash,max_cash,mean_margin,wins,ties,losses,win_rate,done_rate,agent_errors,invalid_actions,max_p99_ms,max_runtime_ms,total_wall_seconds
calibration,macro_057_13_8_6_34_10_9,v012,2,80188.5,75875.0,84502.0,-80258.0,0,0,2,0.0,1,0,0,5.516834,14.437625,12.513099375006277
calibration,macro_058_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,4.856417,135.067625,13.839165042001696
calibration,macro_058_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.140625,80.000583,12.43540991700138
calibration,macro_059_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.091792,5.974625,13.411598626000341
calibration,macro_059_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,5.5035,6.570125,12.001348666992271
calibration,macro_060_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.552,88.639375,13.986757375998423
calibration,macro_060_13_8_6_34_10_9,v012,2,85241.0,81215.0,89267.0,-78908.5,0,0,2,0.0,1,0,0,4.870625,7.42975,12.190575791995798
calibration,macro_061_13_8_6_34_10_9,baseline,2,83220.0,78431.0,88009.0,-33050.0,0,0,2,0.0,1,0,0,5.022417,9.163792,13.895983708993299
calibration,macro_061_13_8_6_34_10_9,v012,2,81076.0,80416.0,81736.0,-75315.0,0,0,2,0.0,1,0,0,5.175375,133.750875,12.720415374998993
calibration,macro_062_13_8_6_34_10_9,baseline,2,85930.0,79319.0,92541.0,-28088.5,0,0,2,0.0,1,0,0,5.784208,34.415666,13.649421957998129
calibration,macro_062_13_8_6_34_10_9,v012,2,88217.5,82064.0,94371.0,-80572.5,0,0,2,0.0,1,0,0,4.89325,7.8875,12.1264597509944
calibration,macro_063_13_8_6_34_10_9,baseline,2,88066.0,81397.0,94735.0,-27167.5,0,0,2,0.0,1,0,0,5.260625,82.173791,14.447024332992441
calibration,macro_063_13_8_6_34_10_9,v012,2,87979.5,87566.0,88393.0,-74480.5,0,0,2,0.0,1,0,0,5.601542,10.633625,12.370740333004505
calibration,macro_064_13_8_6_34_10_9,baseline,2,90818.5,85331.0,96306.0,-24311.5,0,0,2,0.0,1,0,0,4.991542,11.267709,14.509989126003347
calibration,macro_064_13_8_6_34_10_9,v012,2,88028.5,87801.0,88256.0,-74676.0,0,0,2,0.0,1,0,0,6.372458,25.278958,13.254752416003612
calibration,macro_065_13_8_6_34_10_9,baseline,2,81424.0,75708.0,87140.0,-34907.5,0,0,2,0.0,1,0,0,5.415375,9.78775,13.386050790999434
calibration,macro_065_13_8_6_34_10_9,v012,2,84162.0,79292.0,89032.0,-80385.0,0,0,2,0.0,1,0,0,5.171333,7.796041,12.28679466599715
calibration,macro_066_12_8_5_30_12_8,baseline,2,84762.5,83946.0,85579.0,-39489.0,0,0,2,0.0,1,0,0,4.284042,99.6235,13.021247999997286
calibration,macro_066_12_8_5_30_12_8,v012,2,81468.0,78666.0,84270.0,-80190.5,0,0,2,0.0,1,0,0,3.990084,11.750917,12.066088791994844
calibration,macro_067_13_8_6_38_8_10,baseline,2,76326.0,74412.0,78240.0,-35854.0,0,0,2,0.0,1,0,0,5.026,6.478208,13.14692875000037
calibration,macro_067_13_8_6_38_8_10,v012,2,76674.5,62457.0,90892.0,-79013.0,0,0,2,0.0,1,0,0,4.900875,8.873125,11.913059083999542
calibration,macro_068_12_10_4_34_10_9,baseline,2,89825.0,89714.0,89936.0,-32753.5,0,0,2,0.0,1,0,0,4.262917,7.693458,13.08424675099377
calibration,macro_068_12_10_4_34_10_9,v012,2,85699.5,84858.0,86541.0,-75904.0,0,0,2,0.0,1,0,0,4.18625,72.943917,11.814521916996455
calibration,macro_069_14_7_7_38_10_9,baseline,2,80676.0,77463.0,83889.0,-39985.0,0,0,2,0.0,1,0,0,5.711958,10.982167,13.323853417001374
calibration,macro_069_14_7_7_38_10_9,v012,2,77307.0,75523.0,79091.0,-83343.0,0,0,2,0.0,1,0,0,5.969125,7.000083,11.906903915994917
calibration,macro_070_11_12_2_28_14_7,baseline,2,82696.5,82650.0,82743.0,-37523.0,0,0,2,0.0,1,0,0,4.225709,72.759459,13.170806125002855
calibration,macro_070_11_12_2_28_14_7,v012,2,79124.5,67184.0,91065.0,-86272.0,0,0,2,0.0,1,0,0,4.148542,17.150709,11.719750958996883
calibration,macro_071_13_6_8_34_10_9,baseline,2,83914.5,73678.0,94151.0,-35871.5,0,0,2,0.0,1,0,0,5.304708,10.9705,13.296275084001536
calibration,macro_071_13_6_8_34_10_9,v012,2,72003.0,69411.0,74595.0,-79210.5,0,0,2,0.0,1,0,0,4.802709,6.350875,11.98713150099502
calibration,macro_072_13_8_6_34_10_9,baseline,2,82217.0,81100.0,83334.0,-27441.0,0,0,2,0.0,1,0,0,4.713625,8.526083,13.180881792002765
